Entity,Code,Year,Electricity from nuclear - TWh
World,OWID_WRL,1965,25.53972
World,OWID_WRL,1966,34.43329
World,OWID_WRL,1967,41.00602
World,OWID_WRL,1968,52.11316
World,OWID_WRL,1969,61.78341
World,OWID_WRL,1970,78.87466
World,OWID_WRL,1971,109.7042
World,OWID_WRL,1972,152.1752
World,OWID_WRL,1973,203.9016
World,OWID_WRL,1974,266.6001
World,OWID_WRL,1975,369.8482
World,OWID_WRL,1976,432.6714
World,OWID_WRL,1977,538.5478
World,OWID_WRL,1978,625.7944
World,OWID_WRL,1979,650.8599
World,OWID_WRL,1980,711.9242
World,OWID_WRL,1981,840.7507
World,OWID_WRL,1982,912.1776
World,OWID_WRL,1983,1033.813
World,OWID_WRL,1984,1254.569
World,OWID_WRL,1985,1488.922
World,OWID_WRL,1986,1594.736
World,OWID_WRL,1987,1734.733
World,OWID_WRL,1988,1891.249
World,OWID_WRL,1989,1945.011
World,OWID_WRL,1990,2000.596
World,OWID_WRL,1991,2096.31
World,OWID_WRL,1992,2112.223
World,OWID_WRL,1993,2184.965
World,OWID_WRL,1994,2225.979
World,OWID_WRL,1995,2322.53
World,OWID_WRL,1996,2406.615
World,OWID_WRL,1997,2390.064
World,OWID_WRL,1998,2431.195
World,OWID_WRL,1999,2523.706
World,OWID_WRL,2000,2540.46
World,OWID_WRL,2001,2613.17
World,OWID_WRL,2002,2654.78
World,OWID_WRL,2003,2601.05
World,OWID_WRL,2004,2719.41
World,OWID_WRL,2005,2726.97
World,OWID_WRL,2006,2761.59
World,OWID_WRL,2007,2703.49
World,OWID_WRL,2008,2694.72
World,OWID_WRL,2009,2656.76
World,OWID_WRL,2010,2725.91
World,OWID_WRL,2011,2610.34
World,OWID_WRL,2012,2432.22
World,OWID_WRL,2013,2448.52
World,OWID_WRL,2014,2498.73
World,OWID_WRL,2015,2532.93
World,OWID_WRL,2016,2571.05
World,OWID_WRL,2017,2594.23
World,OWID_WRL,2018,2658.7
World,OWID_WRL,2019,2754.08
World,OWID_WRL,2020,2648.37
World,OWID_WRL,2021,2762.24
World,OWID_WRL,2022,2639.68
World,OWID_WRL,2023,2685.74
